author	title	type	collection	year	_merge	category
"[{:family=>""Angrist"", :given=>""J.D.""}, {:family=>""Pischke"", :given=>""J.S.""}]"	Mostly Harmless Econometrics: An Empiricist’s Companion			2009	both	Required
"[{:family=>""Dale"", :given=>""S.""}, {:family=>""Krueger"", :given=>""A.""}]"	Estimating the Payoff to Attending a More Selective College: An Application of Selection on Observables and Unobservables	article-journal	The Quaterly Journal of Economics	2002	both	Required
	Estimating the Return to College Selectivity Over the Career using Administrative Earnings Data	article-journal	The Journal of Human Resources	2014	left_only	Required
"[{:family=>""Angrist"", :given=>""J.""}]"	Estimating the Labor Market Impact of Voluntary Military Service Using Social Security Data on Military Applicants	article-journal	Econometrica	1998	both	Required
"[{:family=>""Abadie"", :given=>""A.""}, {:family=>""Imbens"", :given=>""G.""}]"	Large Sample Properties of Matching Estimators for Average Treatment Effects	article-journal	Econometrica	2006	both	Required
"[{:family=>""Imbens"", :given=>""G.""}]"	Nonparametric Estimation of Average Treatment Effects under Exogeneity: A Review	article-journal	The Review of Economics and Statistics	2004	both	Required
"[{:family=>""Ashenfelter"", :given=>""O.""}]"	Estimating the Effect of Training Programs on Earnings	article-journal	The Review of Economics and Statistics	1978	both	Required
"[{:family=>""Ashenfelter"", :given=>""O.""}, {:family=>""Card"", :given=>""D.""}]"	Using the Longitudinal Structure of Earnings to Estimate the Effect of Training Programs	article-journal	The Review of Economics and Statistics	1985	both	Required
"[{:family=>""LaLonde"", :given=>""R.""}]"	Evaluating the Econometric Evaluations of Training Programs with Experimental Data	article-journal	The American Economic Review	1986	both	Required
"[{:family=>""Heckman"", :given=>""J.""}, {:family=>""Hotz"", :given=>""J.""}]"	Choosing Among Alternative Nonexperimental Methods for Estimating the Impact of Social Programs: The Case of Manpower Training	article-journal	Journal of the American Statistical Association	1989	both	Required
"[{:family=>""Rosenbaum"", :given=>""P.R.""}, {:family=>""Rubin"", :given=>""B.""}]"	Reducing Bias in Observational Studies Using Subclassification on the Propensity Score	article-journal	Journal of the American Statistical Association	1984	both	Required
"[{:family=>""Dehejia"", :given=>""R.""}, {:family=>""Wahba"", :given=>""S.""}]"	Causal Effects in Nonexperimental Studies: Re-evaluating the Evaluation of Training Programs	article-journal	Journal of the American Statistical Association	1999	both	Required
"[{:family=>""Smith"", :given=>""J.""}, {:family=>""Todd"", :given=>""P.""}]"	Does Matching Overcome LaLonde’s Critique of Nonexperimental Estimators?	article-journal	Journal of Econometrics	2005	both	Required
"[{:family=>""Kline"", :given=>""P.""}]"	Oaxaca-blinder as a Reweighting Estimator	article-journal	The American Economic Review	2011	both	Required
"[{:family=>""Hahn"", :given=>""J.""}]"	On the Role of the Propensity Score in Efficient Estimation of Average Treatment Effects	article-journal	Econometrica	1998	both	Required
"[{:family=>""Angrist"", :given=>""J.""}, {:family=>""Hahn"", :given=>""J.""}]"	When to Control for Covariates? Panel Asymptotics for Estimates of Treatment Effects	article-journal	The Review of Economics and Statistics	2004	both	Required
"[{:family=>""Hirano"", :given=>""K.""}, {:family=>""Imbens"", :given=>""G.""}, {:others=>true}]"	Efficient Estimation of Average Treatment Effects Using the Estimated Propensity Score	article-journal	Econometrica	2003	both	Required
"[{:family=>""Abadie"", :given=>""A.""}, {:family=>""Imbens"", :given=>""G.""}]"	Matching on the Estimated Propensity Score	article-journal	Mimeo	2012	both	Required
"[{:family=>""Angrist"", :given=>""J.""}, {:family=>""Krueger"", :given=>""A.""}]"	Instrumental Variables and the Search for Identification: From Supply and Demand to Natural Experiments	article-journal	Journal of Economic Perspectives	2001	both	Required
"[{:family=>""Angrist."", :given=>""J.""}]"	Grouped Data Estimation and Testing in Simple Labor Supply Models	article-journal	Journal of Econometrics	1991	both	Required
	Lifetime Earnings and the Vietnam Era Draft Lottery: Evidence from Social Security Administrative Records	article-journal	The American Economic Review	1990	left_only	Required
"[{:family=>""Angrist"", :given=>""J.""}, {:family=>""Krueger"", :given=>""A.""}]"	The Effect of Age at School Entry on Educational Attainment: An Application of Instrumental Variables with Moments from Two Samples	article-journal	Journal of the American Statistical Association	1992	both	Required
	Split-sample Instrumental Variables Estimates of the Returns to Schooling	article-journal	Journal of Business and Economic Statistics	1995	left_only	Required
"[{:family=>""Inoue"", :given=>""Atsushi""}, {:family=>""Solon"", :given=>""G.""}]"	Two-sample Instrumental Variables Estimators	article-journal	The Review of Economics and Statistics	2010	both	Required
"[{:family=>""Angrist"", :given=>""J.""}, {:family=>""Imbens"", :given=>""G.""}, {:others=>true}]"	Jackknife Instrumental Variables Estimation	article-journal	Journal of Applied Econometrics	1999	both	Required
"[{:family=>""Flores-lagunes"", :given=>""Alfonso""}]"	Finite-sample Evidence of IV Estimators under Weak Instruments	article-journal	Journal of Applied Econometrics	2007	both	Required
"[{:family=>""Kolesar"", :given=>""M.""}]"	Estimation in an Instrumental Variables Model with Treatment Effect Heterogeneity	book		2013	both	Required
"[{:family=>""Imbens"", :given=>""G.""}, {:family=>""Angrist"", :given=>""J.""}]"	Identification and Estimation of Local Average Treatment Effects	article-journal	Econometrica	1994	both	Required
"[{:family=>""Angrist"", :given=>""J.""}, {:family=>""Imbens"", :given=>""G.""}, {:others=>true}]"	Identification of Causal Effects Using Instrumental Variables	article-journal	Journal of the American Statistical Association		both	Required
"[{:family=>""Abadie"", :given=>""A.""}]"	Bootstrap Tests for Distributional Treatment Effects in Instrumental Variables Models	article-journal	Journal of the American Statistical Association	2002	both	Required
	Semiparametric Instrumental Variable Estimation of Treatment Response Models	article-journal	Journal of Econometrics	2003	left_only	Required
"[{:family=>""Abadie"", :given=>""A.""}, {:family=>""Angrist"", :given=>""J.""}, {:others=>true}]"	Instrumental Variables Estimates of the Effect of Subsidized Training on the Quantiles of Trainee Earnings	article-journal	Econometrica	2002	both	Required
"[{:family=>""Angrist"", :given=>""J.""}]"	Instrumental Variables Methods in Experimental Criminological Research: What	article-journal	Journal of Experimental Criminological	2005	both	Required
"[{:family=>""Angrist"", :given=>""J.""}, {:family=>""Cohodes"", :given=>""S.""}, {:others=>true}]"	Stand and Deliver: Effects of Boston’s Charter High Schools on College Preparation	article-journal	The Journal of Labor Economics	2015	both	Required
"[{:family=>""Behaghel"", :given=>""L.""}, {:family=>""Crepon"", :given=>""B.""}, {:others=>true}]"	Robustness of the Encouragement Design in a Two-treatment Randomized Control Trial	article-journal	IZA DP	2013	both	Required
"[{:family=>""Angrist"", :given=>""J.""}, {:family=>""Imbens"", :given=>""G.""}]"	Two-stage Least Squares Estimation of Average Causal Effects in Models With Variable Treatment Intensity	article-journal	Journal of the American Statistical Association	1995	both	Required
"[{:family=>""Angrist"", :given=>""J.""}, {:family=>""Krueger"", :given=>""A.""}]"	Does Compulsory School Attendance Affect Schooling and Earnings?	article-journal	The Quarterly Journal of Economics	1991	both	Required
"[{:family=>""Card."", :given=>""D.""}]"	The Causal Effect of Education on Earnings	article-journal	The Handbook of Labor Economics	1999	both	Required
"[{:family=>""Angrist"", :given=>""J.""}, {:family=>""Imbens"", :given=>""G.""}, {:others=>true}]"	The Interpretation of Instrumental Variables Estimators in Simultaneous Equations Models with an Application to the Demand for Fish	article-journal	Review of Economic Studies	2000	both	Required
"[{:family=>""Powers"", :given=>""D.E.""}, {:family=>""Swinton"", :given=>""S.S.""}]"	Effects of Self-study for Coachable Test Item Types	article-journal	Journal of Educational Psychology	1984	both	Required
"[{:family=>""Angrist"", :given=>""J.""}]"	Treatment Effect Heterogeneity in Theory and Practice	article-journal	The Economic Journal	2004	both	Required
"[{:family=>""Oreopoulos"", :given=>""P.""}]"	Estimating Average and Local Average Treatment Effects of Education when Compulsory Schooling Laws Really Matter	article-journal	The American Economic Review	2006	both	Required
"[{:family=>""Angrist"", :given=>""J.""}, {:family=>""Lavy"", :given=>""V.""}, {:others=>true}]"	Multiple Experiments for the Causal Link Between the Quantity and Quality of Children	article-journal	Journal of Labor Economics	2010	both	Required
"[{:family=>""Angrist"", :given=>""J.""}, {:family=>""Fernandez-val"", :given=>""I.""}]"	ExtrapoLATE-ing: External Validity and Overidentification in the LATE Framework	chapter	Advances in Econometrics Theory and Applications	2013	both	Required
"[{:family=>""Imbens"", :given=>""G.""}, {:family=>""Rubin"", :given=>""D.""}]"	Estimating Outcome Distributions for Compliers in Instrumental Variable Models	article-journal	The Review of Economic Studies	1997	both	Required
"[{:family=>""Kitagawa"", :given=>""T.""}]"	A Test for Instrument Validity	chapter	UCL	2014	both	Required
"[{:family=>""Huber"", :given=>""M.""}]"	Testing the Validity of the Sibling Sex Ratio Instrument	book		2013	both	Required
"[{:family=>""Chaisemartin"", :given=>""Clement de""}]"	All you Need is LATE	book		2012	both	Required
"[{:family=>""Evdokimov"", :given=>""Kirill""}, {:family=>""Lee"", :given=>""David""}]"	Diagnostics for Exclusion Restrictions in Instrumental Variables Estimation	book		2014	both	Required
"[{:family=>""Angrist"", :given=>""J.""}]"	The Perils of Peer Effects	article-journal	NBER Working Paper	2013	both	Required
"[{:family=>""Sacerdote"", :given=>""B.""}]"	Peer Effects with Random Assignment: Results for Dartmouth Roommates	article-journal	The Quarterly Journal of Economics	2001	both	Required
"[{:family=>""Townsend"", :given=>""R.""}]"	Risk and Insurance in Village India	article-journal	Econometrica	1994	both	Required
"[{:family=>""Angrist"", :given=>""J.""}, {:family=>""Lang"", :given=>""K.""}]"	Does School Integration Generate Peer effects? Evidence from Boston’s Metco Program	article-journal	The American Economic Review	2004	both	Required
"[{:family=>""Kling"", :given=>""J.""}, {:family=>""Leibman"", :given=>""J.""}, {:others=>true}]"	Experimental Analysis of Neighborhood Effects	article-journal	Econometrica	2007	both	Required
"[{:family=>""Guryan"", :given=>""J.""}, {:family=>""Kroft"", :given=>""K.""}, {:others=>true}]"	Peer Effects in the Workplace: Evidence from Random Groupings in Professional Golf Tournaments	article-journal	The American Economic Review Applied Economics	2009	both	Required
"[{:family=>""Duflo"", :given=>""E.""}, {:family=>""Dupas"", :given=>""P.""}, {:others=>true}]"	Peer Effects	article-journal	The American Economic Review	2011	both	Required
"[{:family=>""Crepon"", :given=>""B.""}, {:family=>""Duflo"", :given=>""Esther""}, {:others=>true}]"	Do Labor Market Policies Have Displacement Effects? Evidence from a Clustered Randomized Experiment	article-journal	The Quarterly Journal of Economics	2013	both	Required
"[{:family=>""Abadie"", :given=>""A.""}, {:family=>""Diamond"", :given=>""A.""}, {:others=>true}]"	Synthetic Control Methods for Comparative Case Studies: Estimating the Effect of California’s Tobacco Control Program	article-journal	Journal of the American Statistical Association	2010	both	Required
"[{:family=>""Abadie"", :given=>""A.""}]"	Semiparametric Differences-in-Differences Estimators	article-journal	The Review of Economic Studies	2005	both	Required
"[{:family=>""Athey"", :given=>""S.""}, {:family=>""Imbens"", :given=>""G.""}]"	Identification and Inference in Nonlinear Difference-in-Difference Models	article-journal	Econometrica	2006	both	Required
