author	title	type	collection	year	_merge	category
"[{:family=>""Krugman"", :given=>""Paul""}]"	Development			1997	both	Optional
"[{:family=>""Card"", :given=>""David""}, {:family=>""Krueger"", :given=>""Alan B.""}]"	Minimum Wages and Employment: A Case Study of the Fast-Food Industry in New Jersey and Pennsylvania	article-journal	The American Economic Review	1994	both	Required
"[{:family=>""Dugger"", :given=>""Celia W.""}]"	Wage Laws Squeeze South Africa’s Poor	article-journal	The New York Times	2010-09-26	both	Required
"[{:family=>""Dube"", :given=>""Arindrajit""}]"	The Minimum We Can Do	article-journal	The New York Times	2013-11-30	both	Required
"[{:family=>""Neumark"", :given=>""David""}]"	Who Really Gets the Minimum Wage	article-journal	The Wall Street Journal	2014-07-06	both	Required
"[{:family=>""Holland"", :given=>""Paul W.""}]"	Statistics and Causal Inference	article-journal	Journal of the American Statistical Association	1986	both	Optional
"[{:family=>""Waldfogel"", :given=>""Joel""}]"	The Deadweight Loss of Christmas	article-journal	The American Economic Review	1983	both	Required
"[{:family=>""Thompson"", :given=>""Derek""}]"	If Economists Wrote Christmas Cards	article-journal	The Atlantic	2013-12	left_only	Required
"[{:family=>""Blattman"", :given=>""Chrisopther""}, {:family=>""Fiala"", :given=>""Nathan""}, {:family=>""Martinez"", :given=>""Sebastian""}]"	Generating Skilled Self-Employment in Developing Countries: Experimental Evidence from Uganda	article-journal	The Quarterly Journal of Economics	2014	both	Optional
"[{:family=>""Haushofer"", :given=>""Johannes""}, {:family=>""Shapiro"", :given=>""Jeremy""}]"	The Short-Term Impact of Unconditional Cash Transfers to the Poor: Experimental Evidence from Kenya	article-journal	The Quarterly Journal of Economics	2016	both	Optional
"[{:family=>""Banerjee"", :given=>""Samiran""}]"	Intermediate Microeconomics: A Tool-Building Approach			2014	both	Required
"[{:family=>""Angrist"", :given=>""Joshua D.""}, {:family=>""Pischke"", :given=>""Jörn-Steffen""}]"	Mastering ‘Metrics: The Path from Cause to Effect			2014	both	Required
"[{:family=>""Williamson"", :given=>""Kevin D.""}]"	The White Ghetto	article-journal	National Review	2013-12	both	Required
"[{:family=>""Eissa"", :given=>""Nada""}, {:family=>""Liebman"", :given=>""Jeffrey B.""}]"	Labor Supply Response to the Earned Income Tax Credit	article-journal	The Quarterly Journal of Economics	1996	both	Required
