Required		["Robbins and Cotran Pathologic Basis of Disease"]			["2004"]
Required	[{:family=>"Sherlock", :given=>"G."}]	["Analysis of large-scale gene expression data"]	article-journal	["Current Opinion in Immunology"]	["2000-04"]
Required		["Cellular Adaptations, Cell Injury, and Cell Death"]	chapter	["Chapter 1 in Robbins and Cotran"]	
Required		["Acute and Chronic Inflammation"]	chapter	["Chapter 2 in Robbins and Cotran"]	
Required	[{:family=>"Coussens", :given=>"L.M."}, {:family=>"Werb", :given=>"Z."}]	["Inflammation and cancer"]	article-journal	["Nature"]	["December 19-26, 2002"]
Required	[{:family=>"Muller", :given=>"A."}, {:others=>true}]	["Involvement of chemokine receptors in breast cancer metastasis"]	article-journal	["Nature"]	["2001-03-01"]
Required	[{:family=>"Liotta", :given=>"L.A."}]	["An attractive force in metastasis"]	article-journal	["Nature"]	["2001-03-01"]
Required		["Liver and Biliary Tract.” Chapter 18 in Robbins and Cotran"]			
Required		["Tissue Renewal and Repair: Regeneration, Healing, and Fibrosis"]	article-journal	["Robbins and Cotran", "Chapter"]	
Required		["Diseases of Immunity.” Chapter 6 in Robbins and Cotran"]			
Required	[{:family=>"Prasad", :given=>"S.J."}, {:others=>true}]	["Dendritic cells loaded with stressed tumor cells elicit long-lasting protective tumor immunity in mice depleted of CD4+CD25+ regulatory T cells"]	article-journal	["Journal of Immunology"]	["2005-01-01"]
Required	[{:family=>"Rehermann", :given=>"B."}, {:family=>"Nascimbeni", :given=>"M."}]	["Immunology of hepatitis B virus and hepatitis C virus infection"]	article-journal	["Nature Review Immunology"]	["2005-03"]
Required	[{:family=>"Crispe", :given=>"I.N."}]	["Hepatic T cells and liver tolerance"]	article-journal	["Nature Review Immunology"]	["2003-01"]
Required		["Neoplasia.” Chapter 7 in Robbins and Cotran"]			
Required	[{:given=>"Li"}, {:others=>true}]	["Accurate qualitative and quantitative proteomic analysis of clinical hepatocellular carcinoma using laser capture microdissection coupled with isotope-coded affinity tag and two-dimensional liquid chromatography mass spectrometry"]	article-journal	["Molecular and Cellular Proteomics"]	["2004-04"]
Required	[{:family=>"Ding", :given=>"S.J."}, {:others=>true}]	["From proteomic analysis to clinical significance: overexpression of cytokeratin 19 correlates with hepatocellular carcinoma metastasis"]	article-journal	["Molecular and Cellular Proteomics"]	["2004-01"]
Required	[{:family=>"Staib", :given=>"F."}, {:family=>"Hussain", :given=>"S.P."}, {:family=>"Hofseth", :given=>"L.J."}, {:family=>"Wang", :given=>"X.W."}, {:family=>"Harris", :given=>"C.C."}]	["TP53 and liver carcinogenesis"]	article-journal	["Human Mutation"]	["2003-03"]
Required		["Infectious Diseases.” Chapter 8 in Robbins and Cotran"]			
Required		["Liver and Biliary Tract.” Chapter 18 in Robbins and Cotran"]			
Required	[{:family=>"Carey", :given=>"M.C."}, {:family=>"Kwon", :given=>"R.S."}, {:family=>"Maurer", :given=>"K.J."}, {:family=>"Fox", :given=>"J.G."}]	["State of the art - gallstone research in the post-genomic era"]	article-journal	["Falk Symposium"]	["2004"]
Required	[{:family=>"Rogers", :given=>"A.B."}, {:family=>"Fox", :given=>"J.G."}]	["Inflammation and Cancer. I. Rodent models of infectious gastrointestinal and liver cancer"]	article-journal	["American Journal of Physiology - Gastrointestinal and Liver Physiology"]	["2004-03"]
Required	[{:family=>"Iizuka", :given=>"N."}, {:others=>true}]	["Self-organizing-map-based molecular signature representing the development of hepatocellular carcinoma"]	article-journal	["FEBS Letters"]	["2005-02-14"]
Required	[{:family=>"Wielockx", :given=>"B."}, {:family=>"Lannoy", :given=>"K."}, {:family=>"Shapiro", :given=>"S.D."}, {:family=>"Itoh", :given=>"T."}, {:family=>"Itohara", :given=>"S."}, {:family=>"Vandekerckhove", :given=>"J."}, {:family=>"Libert", :given=>"C."}]	["Inhibition of matrix metalloproteinases blocks lethal hepatitis and apoptosis induced by tumor necrosis factor and allows safe antitumor therapy"]	article-journal	["Nature Medicine"]	["2001-11"]
Required	[{:family=>"Benyon", :given=>"R.C."}, {:family=>"Arthur", :given=>"M.J."}]	["Extracellular matrix degradation and the role of hepatic stellate cells"]	article-journal	["Seminars in Liver Disease"]	["2001-08"]
Required	[{:family=>"Kensler", :given=>"T.W."}, {:family=>"Egner", :given=>"P.A."}, {:family=>"Wang", :given=>"J.B."}, {:family=>"Zhu", :given=>"Y.R."}, {:family=>"Zhang", :given=>"B.C."}, {:family=>"Lu", :given=>"P.X."}, {:family=>"Chen", :given=>"J.G."}, {:family=>"Qian", :given=>"G.S."}, {:family=>"Kuang", :given=>"S.Y."}, {:family=>"Jackson", :given=>"P.E."}, {:family=>"Gange", :given=>"S.J."}, {:family=>"Jacobson", :given=>"L.P."}, {:family=>"Munoz", :given=>"A."}, {:family=>"Groopman", :given=>"J.D."}]				
Required		["Chemoprevention of hepatocellular carcinoma in aflatoxin endemic areas"]	article-journal	["Gastroenterology"]	["2004-11"]
