author	title	type	collection	year	_merge	category
"[{:family=>""Acemoglu"", :given=>""Daron""}]"	Introduction to Modern Economic Growth			2009	both	Required
"[{:family=>""Helpman"", :given=>""Elhanan""}]"	The Mystery of Economic Growth			2004	both	Required
"[{:family=>""Quah"", :given=>""Danny T.""}]"	Empirics for Growth and Distribution: Stratification	article-journal	Journal of Economic Growth	1997	both	Required
"[{:family=>""Jones"", :given=>""Charles I.""}]"	On the Evolution of the World Income Distribution	article-journal	Journal of Economic Perspectives	1997	both	Required
"[{:family=>""Acemoglu"", :given=>""Daron""}, {:family=>""Naidu"", :given=>""Suresh""}, {:others=>true}]"	Democracy Does Cause Growth	article-journal	National Bureau of Economic Research Working Paper	2014-03	both	Required
"[{:family=>""Acemoglu"", :given=>""Daron""}, {:family=>""Johnson"", :given=>""Simon""}, {:family=>""Robinson"", :given=>""James""}]"	Reversal of Fortune: Geography and Institutions in the Making of the Modern World Income Distribution	article-journal	The Quarterly Journal of Economics	2002	both	Required
"[{:family=>""Solow"", :given=>""Robert M.""}]"	Growth Theory: An Exposition			2000	both	Required
"[{:family=>""Mankiw"", :given=>""N.Gregory""}, {:family=>""Romer"", :given=>""David""}, {:family=>""Weil"", :given=>""David N.""}]"	A Contribution to the Empirics of Economic Growth	article-journal	The Quarterly Journal of Economics	1992	both	Required
"[{:family=>""Barro"", :given=>""Robert J.""}, {:family=>""Sala-i-Martin"", :given=>""Xavier""}]"	Chapter 10 in Economic Growth			2003	both	Required
"[{:family=>""Young"", :given=>""Alwyn""}]"	The Tyranny of Numbers: Confronting the Statistical Realities of the East Asian Growth Experience	article-journal	The Quarterly Journal of Economics	1995	both	Required
"[{:family=>""Klenow"", :given=>""Peter J.""}, {:family=>""Rodriguez-Clare"", :given=>""Andrés""}]"	The Neoclassical Revival in Growth Economics: Has It Gone Too Far?	chapter	NBER Macroeconomics Annual 1997	1997	both	Required
"[{:family=>""Trefler"", :given=>""Daniel""}]"	International Factor Price Differences: Leontief Was Right!	article-journal	Journal of Political Economy	1993	both	Required
"[{:family=>""Diamond"", :given=>""Jared M.Guns""}]"	Germs and Steel: The Fates of Human Societies			1999	both	Required
"[{:family=>""Acemoglu"", :given=>""Daron""}, {:family=>""Johnson"", :given=>""Simon""}, {:family=>""Robinson"", :given=>""James A.""}]"	The Colonial Origins of Comparative Development: An Empirical Investigation	article-journal	American Economic Review	2001	both	Required
"[{:family=>""Mas-Colell"", :given=>""Andreu""}, {:family=>""Whinston"", :given=>""Michael D.""}, {:family=>""Green"", :given=>""Jerry R.""}]"	Chapters 4 and 16 in Microeconomic Theory			1995	both	Required
"[{:family=>""Bewley"", :given=>""Truman F.""}]"	General Equilibrium			2007	both	Required
