author	title	type	collection	year	_merge	category
"[{:family=>""Freedman"", :given=>""David""}]"	Statistical Models and Shoe Leather	article-journal	Sociological Methodology	1991	both	Required
"[{:family=>""Laslett"", :given=>""Peter""}]"	The World We Have Lost: Further Explored			1983	both	Required
"[{:family=>""Ogilvie"", :given=>""Sheilagh""}]"	The Economic World of the Bohemian Serf: Economic Concepts	article-journal	The Economic History Review	2001	both	Required
"[{:family=>""Romer"", :given=>""Paul""}]"	Why	article-journal	American Economic Review	1996-05	both	Required
"[{:family=>""Ashton"", :given=>""T.S.""}]"	The Industrial Revolution			1948	both	Required
"[{:family=>""Allen"", :given=>""Robert C.""}]"	The British Industrial Revolution in Global Perspective	paper-conference	National Bureau of Economic Research conference on Starting Economic Growth	June 1-2	both	Required
"[{:family=>""Goldin"", :given=>""Claudia""}, {:family=>""Sokoloff"", :given=>""Kenneth""}]"	Women	article-journal	Journal of Economic History	1982-12	both	Required
	The Relative Productivity Hypothesis of Industrialization: The American Case	article-journal	Quarterly Journal of Economics	1984-08	left_only	Required
"[{:family=>""Gerschenkron"", :given=>""Alexander""}]"	Economic Backwardness in Historical Perspective			1962	both	Required
"[{:family=>""Murphy"", :given=>""Kevin""}, {:family=>""Sheilfer"", :given=>""Andrei""}, {:family=>""Vishny"", :given=>""Robert""}]"	Industrialization and the Big Push	article-journal	Journal of Political Economy	1989	both	Required
"[{:family=>""Ray"", :given=>""Debraj""}]"	Development Economics			1998	both	Required
"[{:family=>""Mokyr"", :given=>""Joel""}]"	The Lever of Riches: Technological Creativity and Economic Progress			1992	both	Required
"[{:family=>""Pomeranz"", :given=>""Kenneth""}]"	The Great Divergence: China			2001	both	Required
"[{:family=>""Broadberry"", :given=>""Stephen""}, {:family=>""Gupta"", :given=>""Bishnupriya""}]"	The Early Modern Great Divergence: Wages	article-journal	Economic History Review	2006-02	both	Required
"[{:family=>""Flath"", :given=>""David""}]"	The Japanese Economy			2005	both	Required
"[{:family=>""North"", :given=>""Douglass C.""}, {:family=>""Weingast"", :given=>""Barry R.""}]"	Constitutions and Commitment: Evolution of Institutions Governing Public Choice in Seventeenth Century England	article-journal	Journal of Economic History	1989	both	Required
