author	title	type	collection	year	_merge	category
"[{:family=>""Costa"", :given=>""Dora L.""}]"	The Wage and the Length of the Work Day: From the 1890s to 1991	article-journal	Journal of Labor Economics	2000-01	both	Required
"[{:family=>""Goldin"", :given=>""Claudia""}, {:family=>""Katz"", :given=>""Lawrence F.""}]"	Decreasing (and then Increasing) Inequality in America: A Tale of Two Half-Centuries	chapter	The Causes and Consequences of Increasing Inequality	2001	both	Required
"[{:family=>""Goldin"", :given=>""Claudia""}, {:family=>""Margo"", :given=>""Robert A.""}]"	The Great Compression: The Wage Structure in the United States at Mid-Century	article-journal	Quarterly Journal of Economics	1992-02	both	Required
"[{:family=>""Costa"", :given=>""Dora L.""}]"	Estimating Real Income in the United States from 1888 to 1994: Correcting CPI Bias Using Engel Curves	article-journal	Journal of Political Economy	2001-12	both	Required
"[{:family=>""Romer"", :given=>""Christina""}]"	New Estimates of Prewar Gross National Product and Unemployment	article-journal	Journal of Economic History	1986	both	Required
"[{:family=>""Thompson"", :given=>""Peter""}]"	How Much Did the Liberty Ship Builders Learn? New Evidence on an Old Case Study	article-journal	Journal of Political Economy	2001-02	both	Required
"[{:family=>""Costa"", :given=>""Dora L.""}, {:family=>""Kahn"", :given=>""Matthew E.""}]"	Cowards and Heroes: Group Loyalty in the American Civil War	article-journal	Quarterly Journal of Economics	2003-05	both	Required
"[{:family=>""Gordon"", :given=>""Robert J.""}]"	Interpreting the ‘One Big Wave’ in U.S. Long-term Productivity Growth	chapter	Productivity	2000	both	Required
"[{:family=>""Obstfeld"", :given=>""Maurice""}, {:family=>""Taylor"", :given=>""Alan M.""}]"	The Great Depression as a Watershed: International Capital Mobility over the Long Run	chapter	The Defining Moment: The Great Depression and the American Economy in the Twentieth Century	1998	both	Required
"[{:family=>""Temin"", :given=>""Peter""}]"	Lessons from the Great Depression			1989	both	Required
	The Macroeconomics of the Great Depression: A Comparative Approach	article-journal	Journal of Money	1995	left_only	Required
"[{:family=>""Bernanke"", :given=>""Ben""}]"	Nonmonetary Effects of the Financial Crisis in the Propagation of the Great Depression	article-journal	American Economic Review	1983-06	both	Required
"[{:family=>""Granitz"", :given=>""Elizabeth""}, {:family=>""Klein"", :given=>""Benjamin""}]"	Monopolization by ‘Raising Rivals’ Costs’: The Standard Oil Case	article-journal	Journal of Law and Economics	1996-04	both	Required
"[{:family=>""Chandler"", :given=>""Alfred Dupont""}, {:family=>""Hikino"", :given=>""Takashi""}]"	Scale and Scope: The Dynamics of Industrial Capitalism			1990	both	Required
"[{:family=>""Costa"", :given=>""Dora""}]"	Pensions and Retirement: Evidence from Union Army Veterans	article-journal	Quarterly Journal of Economics	1995-05	both	Required
"[{:family=>""Goldin"", :given=>""Claudia""}]"	Understanding the Gender Gap: An Economic History of American Women			1990	both	Required
"[{:family=>""Heckman"", :given=>""James J.""}]"	Determining the Impact of Federal Antidiscrimination Policy on the Economic Status of Blacks: A Study of South Carolina	article-journal	American Economic Review	1989-03	both	Required
"[{:family=>""Sacerdote"", :given=>""Bruce""}]"	Slavery and the Intergenerational Transmission of Human Capital	article-journal	Review of Economics and Statistics		both	Required
"[{:family=>""Alston"", :given=>""Lee J.""}, {:family=>""Ferrie"", :given=>""Joseph P.""}]"	Paternalism in Agricultural Labor Contracts in the U.S. South: Implications for the Growth of the Welfare States	article-journal	American Economic Review	1993-09	both	Required
"[{:family=>""Steckel"", :given=>""Richard H.""}]"	A Peculiar Population: The Nutrition	article-journal	Journal of Economic History	1986	both	Required
"[{:family=>""Fogel"", :given=>""Robert William""}]"	Without Consent or Contract: The Rise and Fall of American Slavery			1989	both	Required
"[{:family=>""Calomiris"", :given=>""Charles W.""}]"	Is Deposit Insurance Necessary?	article-journal	Journal of Economic History	1990-06	both	Required
"[{:family=>""Goldin"", :given=>""Claudia""}, {:family=>""Sokoloff"", :given=>""Kenneth""}]"	Women	article-journal	Journal of Economic History	1982-12	both	Required
"[{:family=>""Irwin"", :given=>""Douglas A.""}]"	The Aftermath of Hamilton’s ‘Report on Manufactures’	article-journal	Journal of Economic History	2004-09	both	Required
"[{:family=>""Haber"", :given=>""Stephen""}]"	Mexico Before 1982: The Political Economy of Authoritarian Rule	chapter	The Second Mexican Revolution: Politics		both	Required
"[{:family=>""Frank"", :given=>""Zephyr L.""}]"	Exports and Inequality: Evidence from the Brazilian Frontier	article-journal	Journal of Economic History	2001-03	both	Required
"[{:family=>""Engerman"", :given=>""Stanley L.""}, {:family=>""Sokoloff"", :given=>""Kenneth L.""}]"	Factor Endowments	chapter	How Latin America Fell Behind: Essays on the Economic Histories of Brazil and Mexico	1997	both	Required
"[{:family=>""Bernhofen"", :given=>""Daniel M.""}, {:family=>""Brown"", :given=>""John C.""}]"	An Empirical Assessment of the Comparative Advantage Gains from Trade: Evidence from Japan	article-journal	American Economic Review	2005-03	both	Required
"[{:family=>""Flath"", :given=>""David""}]"	The Japanese Economy			2000	both	Required
"[{:family=>""Richardson"", :given=>""Philip""}]"	Economic Change in China			1999	both	Required
